iucn_id,sci_name,vuln,mp_particles_ml,log_mp_particles_ml,distance_km,log_toxic_pressure,eco_risk_score,eco_risk_index,eco_risk_class,geometry
55836,Lampyris noctiluca,1,3.52481126896964e-10,-9.451633769146614,205.96894880841654,-10.866607117117432,1.3595427957575544e-11,9.340237397886041e-08,medium,POINT (519444.20656 6594089.34283)
55837,Lampyris noctiluca,1,4.3227725163568073e-10,-9.363234112139045,195.76544438441687,-10.778207460109863,1.6664509678295436e-11,1.1454718689557619e-07,medium,POINT (521324.782378 6607866.84836)
55838,Lampyris noctiluca,1,6.422958858663528e-10,-9.191589226077099,175.96634886704788,-10.606562574047917,2.4742149456398153e-11,1.7019907155003243e-07,medium,POINT (525491.782612 6637044.473695)
55839,Lampyris noctiluca,1,2.6339117434936917e-10,-9.577753046143059,220.53678870839641,-10.992726394113877,1.0168891321129562e-11,6.979483181379616e-08,medium,POINT (527178.473273 6581737.614308)
55840,Lampyris noctiluca,1,3.863021260595543e-10,-9.411950118987585,201.38781414817583,-10.826923466958403,1.4896235617675163e-11,1.0236444704056616e-07,medium,POINT (530302.042525 6607653.872216)
55841,Lampyris noctiluca,1,7.387517134665648e-10,-9.130914020221791,168.97070840692814,-10.54588736819261,2.8451988979483223e-11,1.9575846351313463e-07,medium,POINT (533632.20962 6655675.336331)
55842,Lampyris noctiluca,1,4.4091425369213487e-10,-9.35466199029105,194.77628179000104,-10.769635338261867,1.699670206508213e-11,1.1683586686898345e-07,medium,POINT (537286.305301 6622326.639234)
55843,Lampyris noctiluca,1,4.48853354230008e-10,-9.34692903695393,193.88399135763555,-10.761902384924749,1.7302052085769537e-11,1.1893961308660976e-07,medium,POINT (540658.506636 6626758.564044)
55844,Lampyris noctiluca,1,5.830163137352559e-11,-10.226933359135321,295.93729904556426,-11.64190670710614,2.2808319759048257e-12,1.5449084678850048e-08,low,POINT (542993.12126 6503568.109384)
55845,Lampyris noctiluca,1,5.830187787675643e-11,-10.226931553876883,295.93708764263783,-11.6419049018477,2.2808414567983234e-12,1.5449149998622387e-08,low,POINT (542997.306873 6503570.55072)
55846,Lampyris noctiluca,1,3.868897224334389e-10,-9.41129172735941,201.3118179399708,-10.826265075330229,1.4918835478209156e-11,1.025201515367055e-07,medium,POINT (548505.454277 6624088.543905)
55847,Lampyris noctiluca,1,3.8669921418927453e-10,-9.41150507924455,201.33644448761086,-10.826478427215369,1.491150823804903e-11,1.0246966962176146e-07,medium,POINT (548518.8872 6624067.094214)
55848,Lampyris noctiluca,1,3.867138761461365e-10,-9.41148865546466,201.33454874042903,-10.826462003435479,1.4912072159466787e-11,1.024735548271627e-07,medium,POINT (552712.960335 6628451.449678)
55849,Lampyris noctiluca,1,8.595019269829856e-11,-10.06072945118036,276.5304041230877,-11.475702799151179,3.344238180703783e-12,2.27755514533074e-08,low,POINT (559123.727358 6535738.972303)
